"acres"|"acquisitioncost"|"areaname"|"agency"
13709.16|175122|"06"|"STATE"
578383.24|56219604.88|"07"|"STATE"
70286.35|0|"08"|"STATE"
299937.34|50562401|"09"|"STATE"
2188082.95|61320526.74|"10"|"STATE"
2114564.21|0|"11"|"STATE"
512580.92|53694206.79|"12"|"STATE"
777602.69|240903960.03|"13"|"STATE"
783703.44|144332072.12|"14"|"STATE"
87924.16|572268.62|"15"|"STATE"
181018.97|21333592.62|"16"|"STATE"
167782.68|1488000|"17"|"STATE"
241450.79|5990071.89|"18"|"STATE"
2587518.54|69703734.32|"19"|"STATE"
2564844.06|64445924.15|"20"|"STATE"
2113805.83|0|"21"|"STATE"
2116114.95|5750550|"22"|"STATE"
2115010.86|88352|"23"|"STATE"
2634019.01|117624393.91|"24"|"STATE"
454.24|0|"25"|"STATE"
2120314.15|10701380.16|"26"|"STATE"
2114198.42|610020|"27"|"STATE"
2118812.39|0|"28"|"STATE"
197.67|0|"29"|"STATE"
2114161.46|310|"30"|"STATE"
50589.08|68770005.81|"31"|"STATE"
2113858.01|0|"32"|"STATE"
2114446.02|8046772|"33"|"STATE"
2113762.37|13000|"34"|"STATE"
2307060.42|109103246.12|"35"|"STATE"
2114571.98|0|"36"|"STATE"
2134326.88|0|"37"|"STATE"
2114071.27|12900000|"38"|"STATE"
2456916.95|152199126.08|"39"|"STATE"
2158914.07|27598797.61|"40"|"STATE"
25653.43|3426236|"41"|"STATE"
2210764.99|1884626|"42"|"STATE"
2134705.17|0|"43"|"STATE"
2116699.97|3230000|"44"|"STATE"
2139408.44|0|"45"|"STATE"
20839.32|0|"46"|"STATE"
1615.19|275000|"47"|"STATE"
25582.66|5203928.15|"48"|"STATE"
169950.27|500000|"49"|"STATE"
3807.12|0|"01"|"UNKNOWN"
1017148.76|8378905.57|"02"|"UNKNOWN"
4818.30|72346.75|"03"|"UNKNOWN"
31156.13|1717984.56|"04"|"UNKNOWN"
1579925.23|105582733.23|"05"|"UNKNOWN"
28911.15|175122|"06"|"UNKNOWN"
3596345.46|56219604.88|"07"|"UNKNOWN"
327019.72|0|"08"|"UNKNOWN"
1102535.53|50562401|"09"|"UNKNOWN"
314039.23|61278451.74|"10"|"UNKNOWN"
2956.98|0|"11"|"UNKNOWN"
6152944.08|53694206.79|"12"|"UNKNOWN"
3466418.16|240903960.03|"13"|"UNKNOWN"
3272053.64|144332072.12|"14"|"UNKNOWN"
391576.41|572268.62|"15"|"UNKNOWN"
910662.39|21333592.62|"16"|"UNKNOWN"
2318.07|1488000|"17"|"UNKNOWN"
952463.46|5990071.89|"18"|"UNKNOWN"
342960.11|69194734.32|"19"|"UNKNOWN"
3024530.17|64445924.15|"20"|"UNKNOWN"
3961.68|0|"21"|"UNKNOWN"
9929.23|5750550|"22"|"UNKNOWN"
12031.62|68352|"23"|"UNKNOWN"
2096545.22|117431472.91|"24"|"UNKNOWN"
2903.85|0|"25"|"UNKNOWN"
18633.57|9791380.16|"26"|"UNKNOWN"
4847.82|610020|"27"|"UNKNOWN"
99689.80|0|"28"|"UNKNOWN"
6305.77|0|"29"|"UNKNOWN"
2201.73|310|"30"|"UNKNOWN"
2283286.90|68770005.81|"31"|"UNKNOWN"
1927.73|0|"32"|"UNKNOWN"
5930.72|8046772|"33"|"UNKNOWN"
2687.39|0|"34"|"UNKNOWN"
1293339.84|108243246.12|"35"|"UNKNOWN"
1987.09|0|"36"|"UNKNOWN"
1620.51|0|"37"|"UNKNOWN"
9545.91|12900000|"38"|"UNKNOWN"
5309299.16|152199126.08|"39"|"UNKNOWN"
57046.42|27482847.61|"40"|"UNKNOWN"
4521.75|3426236|"41"|"UNKNOWN"
2901473.81|1884626|"42"|"UNKNOWN"
873.50|0|"43"|"UNKNOWN"
6420.30|3230000|"44"|"UNKNOWN"
4176.74|0|"45"|"UNKNOWN"
1529.59|0|"46"|"UNKNOWN"
5382.78|275000|"47"|"UNKNOWN"
2664.58|5203928.15|"48"|"UNKNOWN"
8884.56|500000|"49"|"UNKNOWN"
