"acres"|"acquisitioncost"|"areaname"|"agency"
13.64|0|"Chambers-Clover"|"DNR UPLANDS"
6414.88|0|"Chelan"|"DNR UPLANDS"
84949.74|5540170|"Colville"|"DNR UPLANDS"
79620.23|41947000|"Cowlitz"|"DNR UPLANDS"
94651.11|5650000|"Deschutes"|"DNR UPLANDS"
56669.99|91585000|"Duwamish-Green"|"DNR UPLANDS"
55462.53|22226000|"Elwha-Dungeness"|"DNR UPLANDS"
9487.73|0|"Entiat"|"DNR UPLANDS"
34868.97|11446300|"Esquatzel Coulee"|"DNR UPLANDS"
60214.01|0|"Foster"|"DNR UPLANDS"
66827.59|0|"Grand Coulee"|"DNR UPLANDS"
62007.25|667000|"Grays/Elochoman"|"DNR UPLANDS"
3604.81|30000|"Hangman"|"DNR UPLANDS"
373.30|1700000|"Island"|"DNR UPLANDS"
104869.12|39362800|"Kennedy-Goldsborough"|"DNR UPLANDS"
54592.20|4622170|"Kettle"|"DNR UPLANDS"
39868.96|21496050|"Kitsap"|"DNR UPLANDS"
108285.64|16231200|"Klickitat"|"DNR UPLANDS"
151465.76|1412500|"Lewis"|"DNR UPLANDS"
17094.63|346000|"Little Spokane"|"DNR UPLANDS"
133444.71|40661600|"Lower Chehalis"|"DNR UPLANDS"
55938.47|0|"Lower Crab"|"DNR UPLANDS"
9837.62|0|"Lower Lake Roosevelt"|"DNR UPLANDS"
122586.59|53431900|"Lower Skagit / Samish"|"DNR UPLANDS"
23517.34|14205972|"Lower Snake"|"DNR UPLANDS"
33216.15|484100|"Lower Spokane"|"DNR UPLANDS"
175242.82|74720000|"Lower Yakima"|"DNR UPLANDS"
73821.48|21575000|"Lyre-Hoko"|"DNR UPLANDS"
99801.75|215000|"Methow"|"DNR UPLANDS"
28784.88|0|"Middle Lake Roosevelt"|"DNR UPLANDS"
38318.80|1313250|"Middle Snake"|"DNR UPLANDS"
9066.80|0|"Middle Spokane"|"DNR UPLANDS"
59239.67|10000|"Moses Coulee"|"DNR UPLANDS"
150838.72|84511504|"Naches"|"DNR UPLANDS"
58604.26|7079000|"Nisqually"|"DNR UPLANDS"
123492.39|859000|"Nooksack"|"DNR UPLANDS"
287213.24|18586978|"Okanogan"|"DNR UPLANDS"
74433.46|8970470|"Palouse"|"DNR UPLANDS"
44151.85|0|"Pend Oreille"|"DNR UPLANDS"
33437.87|27055000|"Puyallup-White"|"DNR UPLANDS"
152480.51|18101750|"Queets-Quinault"|"DNR UPLANDS"
44885.22|40997800|"Quilcene-Snow"|"DNR UPLANDS"
61899.19|17811587.62|"Rock-Glade"|"DNR UPLANDS"
92060.78|11999000|"Salmon-Washougal"|"DNR UPLANDS"
1193.36|0|"San Juan"|"DNR UPLANDS"
16307.67|0|"Sanpoil"|"DNR UPLANDS"
39495.51|24037000|"Skokomish-Dosewallips"|"DNR UPLANDS"
179132.84|124883500|"Snohomish"|"DNR UPLANDS"
237222.35|21510000|"Soleduc"|"DNR UPLANDS"
171716.65|22842439|"Stillaguamish"|"DNR UPLANDS"
201921.86|42495500|"Upper Chehalis"|"DNR UPLANDS"
40291.00|2558100|"Upper Crab-Wilson"|"DNR UPLANDS"
49889.33|4622170|"Upper Lake Roosevelt"|"DNR UPLANDS"
97646.90|19301900|"Upper Skagit"|"DNR UPLANDS"
262409.30|186870978|"Upper Yakima"|"DNR UPLANDS"
14441.14|0|"Walla Walla"|"DNR UPLANDS"
10061.81|1464000|"Wenatchee"|"DNR UPLANDS"
138722.10|39194000|"Willapa"|"DNR UPLANDS"
128837.44|19989000|"Wind-White Salmon"|"DNR UPLANDS"
1363715.77|0|"Alkali-Squilchuck"|"FEDERAL"
1335200.14|0|"Cedar-Sammamish"|"FEDERAL"
91866.56|0|"Chambers-Clover"|"FEDERAL"
4037446.29|0|"Chelan"|"FEDERAL"
275978.32|0|"Colville"|"FEDERAL"
2593765.05|0|"Cowlitz"|"FEDERAL"
564680.31|0|"Deschutes"|"FEDERAL"
1339609.93|0|"Duwamish-Green"|"FEDERAL"
1337704.67|0|"Elwha-Dungeness"|"FEDERAL"
1556607.83|0|"Entiat"|"FEDERAL"
182169.43|0|"Esquatzel Coulee"|"FEDERAL"
7906.06|0|"Foster"|"FEDERAL"
59239.74|0|"Grand Coulee"|"FEDERAL"
3052.81|0|"Grays/Elochoman"|"FEDERAL"
4126.98|0|"Hangman"|"FEDERAL"
7901.12|0|"Island"|"FEDERAL"
2.44|0|"Kennedy-Goldsborough"|"FEDERAL"
778064.95|0|"Kettle"|"FEDERAL"
8324.44|0|"Kitsap"|"FEDERAL"
1129383.15|0|"Klickitat"|"FEDERAL"
1123607.45|0|"Lewis"|"FEDERAL"
25385.77|0|"Little Spokane"|"FEDERAL"
786530.42|0|"Lower Chehalis"|"FEDERAL"
128785.81|0|"Lower Crab"|"FEDERAL"
8807.62|0|"Lower Lake Roosevelt"|"FEDERAL"
232401.88|0|"Lower Skagit / Samish"|"FEDERAL"
25467.25|0|"Lower Snake"|"FEDERAL"
9207.91|0|"Lower Spokane"|"FEDERAL"
620290.43|0|"Lower Yakima"|"FEDERAL"
816081.39|0|"Lyre-Hoko"|"FEDERAL"
3024257.97|0|"Methow"|"FEDERAL"
530157.87|0|"Middle Lake Roosevelt"|"FEDERAL"
681015.86|0|"Middle Snake"|"FEDERAL"
56963.95|0|"Moses Coulee"|"FEDERAL"
3225617.13|0|"Naches"|"FEDERAL"
2321832.67|0|"Nisqually"|"FEDERAL"
1557918.46|0|"Nooksack"|"FEDERAL"
573648.27|0|"Okanogan"|"FEDERAL"
49344.19|0|"Palouse"|"FEDERAL"
821996.35|0|"Pend Oreille"|"FEDERAL"
1330841.09|0|"Puyallup-White"|"FEDERAL"
1113257.14|0|"Queets-Quinault"|"FEDERAL"
782520.64|0|"Quilcene-Snow"|"FEDERAL"
34884.22|0|"Rock-Glade"|"FEDERAL"
1058645.02|0|"Salmon-Washougal"|"FEDERAL"
3081.43|0|"San Juan"|"FEDERAL"
760433.76|0|"Sanpoil"|"FEDERAL"
