acres,areaname,agency
1262.78,35,DEVELOPED RECREATION
83205.98,14,HABITAT AND PASSIVE RECREATION
10358.15,19,LEG-ACQ
11797.7,41,LEG-OWNER
126.98,22,DEVELOPED RECREATION
29.59,39,OTHER PUBLIC
113.28,14,AQ-PARKS
1.74,33,LEG-ACQ
49.05,41,REVENUE
5786.43,45,LEG-OWNER
226131.17,15,LEG-OWNER
14311.23,27,LEG-LANDUSE
474.26,13,AQ-PARKS
728.42,12,AQ-DNR
300909.63,10,LEG-LANDUSE
7.59,5,OTHER PUBLIC
94064.74,28,LEG-LANDUSE
11218.07,41,UNKNOWN
0.2,37,DNR UPLANDS
7.7,31,DFW
11,49,DNR UPLANDS
40.4,17,DFW
60.42,16,PARKS
141.37,23,PARKS
189.07,29,DNR AQUATIC
244.96,1,DNR UPLANDS
289.67,30,PARKS
1168.64,46,CITY-COUNTY
1210.1,6,DNR AQUATIC
1288.08,8,DNR UPLANDS
1532.15,37,CITY-COUNTY
1682.86,29,CITY-COUNTY
1783.64,45,DNR AQUATIC
2319.24,20,PARKS
2335.09,5,DNR AQUATIC
3465.34,4,DNR UPLANDS
3619.98,39,DFW
4278.29,6,FEDERAL
5175.99,49,CITY-COUNTY
5576.3,39,PARKS
5739.04,18,DNR AQUATIC
7448.44,23,FEDERAL
8276.75,24,PARKS
8445.93,38,CITY-COUNTY
10309.54,39,DNR AQUATIC
11959.41,9,CITY-COUNTY
13289.8,6,CITY-COUNTY
14080.27,13,PARKS
14739.14,14,CITY-COUNTY
15194.11,40,CITY-COUNTY
43751.74,34,DNR AQUATIC
748.63,35,AQ-DFW
76660.4,16,REVENUE
10517.25,49,UNKNOWN
1.23,15,OTHER PUBLIC
984489.43,13,UNKNOWN
0,28,LEG-ACQ
9474.77,12,CONSERVATION
84584.51,23,UNKNOWN
431.3,24,AQ-PARKS
410704.92,40,LEG-LANDUSE
12911.33,49,LEG-OWNER
2624.91,25,UNKNOWN
81.84,33,REVENUE
59597.93,26,UNKNOWN
263440.32,8,LEG-LANDUSE
4343.68,39,HABITAT AND PASSIVE RECREATION
613.77,18,LEG-ACQ
1215.5,20,DEVELOPED RECREATION
26,26,AQ-DNR
1024.07,23,REVENUE
401.78,24,AQ-DFW
1283.36,9,DEVELOPED RECREATION
772.32,5,DEVELOPED RECREATION
0,25,LEG-ACQ
94.27,28,OTHER PUBLIC
14311.23,27,LEG-OWNER
1168922.51,42,LEG-OWNER
869.88,40,LEG-ACQ
367.12,18,AQ-DNR
5.42,48,REVENUE
4.75,26,AQ-PARKS
333745.39,13,REVENUE
139.28,16,OTHER PUBLIC
0,41,LEG-ACQ
14630.63,36,LEG-LANDUSE
41166.41,5,REVENUE
2894.5,6,REVENUE
484.73,48,HABITAT AND PASSIVE RECREATION
9957.27,4,HABITAT AND PASSIVE RECREATION
2352570.05,24,UNKNOWN
814.3,31,HABITAT AND PASSIVE RECREATION
17809.3,18,UNKNOWN
1990.4,10,LEG-ACQ
55.38,32,REVENUE
1681841.92,39,LEG-LANDUSE
299.95,41,HABITAT AND PASSIVE RECREATION
1.74,33,AQ-DNR
30.75,26,LEG-ACQ
29.06,30,REVENUE
10,38,AQ-DNR
2769.9,11,LEG-OWNER
564.52,22,HABITAT AND PASSIVE RECREATION
24468.21,5,AQ-DNR
1905670.48,14,LEG-OWNER
289.65,46,HABITAT AND PASSIVE RECREATION
141.79,23,DEVELOPED RECREATION
9566.28,32,LEG-LANDUSE
30349.87,39,AQ-DNR
12169.28,19,HABITAT AND PASSIVE RECREATION
5.64,34,DEVELOPED RECREATION
123.53,17,REVENUE
63917.44,9,HABITAT AND PASSIVE RECREATION
0.55,27,DNR UPLANDS
8.6,29,DNR UPLANDS
53.21,3,PARKS
688.06,26,FEDERAL
1524.48,31,DNR AQUATIC
1582.33,43,DNR AQUATIC
1684.4,36,CITY-COUNTY
2095.94,4,DNR AQUATIC
2124.01,48,CITY-COUNTY
2145.87,35,DFW
2400.09,11,CITY-COUNTY
2793.1,42,DFW
2858.08,24,DFW
3013.97,23,CITY-COUNTY
3078.7,28,DFW
4650.82,46,DNR AQUATIC
6040.34,18,FEDERAL
6160.13,5,PARKS
9853.67,27,DNR AQUATIC
10533.96,10,CITY-COUNTY
13173.42,21,DNR AQUATIC
19469.46,19,FEDERAL
21477.4,12,CITY-COUNTY
24207.99,38,DNR AQUATIC
27739.71,19,CITY-COUNTY
28341.59,2,DNR UPLANDS
42517.04,20,CITY-COUNTY
48693.35,7,DFW
58542.51,9,DFW
70588.4,5,DNR UPLANDS
87768.45,5,FEDERAL
90937.41,12,DFW
167673.12,35,FEDERAL
177752.96,19,DNR UPLANDS
188632.48,19,DNR AQUATIC
209185.63,31,FEDERAL
284090.41,9,FEDERAL
437377.26,7,DNR UPLANDS
33098.48,7,CONSERVATION
5697.62,47,UNKNOWN
2758.33,3,LEG-LANDUSE
235523.94,19,UNKNOWN
390557.22,35,LEG-LANDUSE
10539.87,35,LEG-ACQ
40.4,17,OTHER PUBLIC
6569.69,24,HABITAT AND PASSIVE RECREATION
0.79,8,HABITAT AND PASSIVE RECREATION
277280.72,13,HABITAT AND PASSIVE RECREATION
2792293.12,24,LEG-LANDUSE
17029.89,14,AQ-DFW
233.17,15,LEG-ACQ
1.57,3,AQ-PARKS
0.44,15,AQ-PARKS
778712.37,20,LEG-OWNER
62228.85,26,LEG-OWNER
1904.39,29,LEG-OWNER
9510.9,32,UNKNOWN
16709.71,21,LEG-OWNER
965.59,20,OTHER PUBLIC
3458.73,14,DEVELOPED RECREATION
8949.7,35,CONSERVATION
6943.58,19,AQ-DNR
6536.01,30,UNKNOWN
6792.75,20,AQ-DFW
1.31,30,DEVELOPED RECREATION
2.25,20,AQ-PARKS
