acres,areaname,agency
0.44,Lower Yakima,AQ-PARKS
151.48,Lower Skagit-Samish,AQ-PARKS
2204.18,Cedar-Sammamish,AQ-DNR
700.15,Palouse,AQ-DFW
21221.02,Naches,AQ-DFW
13756.67,Hangman,WRIA-OWNER
29527.73,Deschutes,UNKNOWN
432.22,Upper Skagit,DEVELOPED RECREATION
1411.32,Palouse,OTHER PUBLIC
14.27,Grand Coulee,AQ-PARKS
8.94,Wind-White Salmon,OTHER PUBLIC
135717.26,Upper Lake Roosevelt,WRIA-OWNER
14550.08,Sanpoil,REVENUE
134661.69,Soleduc,REVENUE
1109.12,Lower Yakima,DEVELOPED RECREATION
277176.95,Entiat,WRIA-LANDUSE
54989.2,Palouse,UNKNOWN
491956.68,Alkali-Squilchuck,WRIA-OWNER
6.57,Kitsap,AQ-PARKS
246011.55,Willapa,WRIA-OWNER
806.24,San Juan,DEVELOPED RECREATION
3988.97,Quilcene-Snow,HABITAT AND PASSIVE RECREATION
260637.38,Entiat,UNKNOWN
995.13,Lower Chehalis,DEVELOPED RECREATION
4.76,Hangman,AQ-DNR
5467.37,Middle Spokane,REVENUE
74533.57,Colville,REVENUE
59900.31,Lower Snake,WRIA-LANDUSE
183228.32,Cedar-Sammamish,WRIA-LANDUSE
563704.23,Queets-Quinault,WRIA-LANDUSE
1023.7,Kitsap,DEVELOPED RECREATION
153.39,Moses Coulee,DEVELOPED RECREATION
30768.3,Methow,HABITAT AND PASSIVE RECREATION
2816.13,Skokomish-Dosewallips,AQ-DNR
345646.6,Wind-White Salmon,UNKNOWN
459.99,Upper Yakima,AQ-PARKS
726753.52,Wenatchee,WRIA-LANDUSE
29.95,Puyallup-White,AQ-DFW
161120.18,Colville,UNKNOWN
21798.02,Lower Snake,REVENUE
5287.93,Upper Yakima,CONSERVATION
235.3,Cedar-Sammamish,DEVELOPED RECREATION
479830.57,Lewis,WRIA-LANDUSE
66820.54,Palouse,REVENUE
1449568.06,Upper Skagit,WRIA-OWNER
148.82,Lower Spokane,WRIA-ACQ
31580.72,Duwamish-Green,WRIA-ACQ
14.01,Little Spokane,OTHER PUBLIC
273.89,Skokomish-Dosewallips,HABITAT AND PASSIVE RECREATION
3136.14,Nisqually,CONSERVATION
133.99,San Juan,AQ-PARKS
1005.58,Upper Yakima,DEVELOPED RECREATION
2732.54,Cedar-Sammamish,HABITAT AND PASSIVE RECREATION
1449568.06,Upper Skagit,WRIA-LANDUSE
0.03,Naches,DNR AQUATIC
5.01,Middle Spokane,DFW
13.64,Chambers-Clover,DNR UPLANDS
282.2,Little Spokane,FEDERAL
410.5,Foster,PARKS
499.32,Soleduc,CITY-COUNTY
1320.37,Middle Snake,CITY-COUNTY
1431.18,Wind-White Salmon,CITY-COUNTY
2491.05,Salmon-Washougal,DFW
2685.72,Lower Snake,CITY-COUNTY
2866.35,Nooksack,DFW
3076.21,Palouse,PARKS
4274.05,Kettle,DFW
5544.63,Salmon-Washougal,PARKS
6373.67,Deschutes,FEDERAL
6451.7,Moses Coulee,CITY-COUNTY
10557.91,Chambers-Clover,DNR AQUATIC
11864,Middle Spokane,CITY-COUNTY
13652.28,Klickitat,DFW
33478.35,Chelan,DNR AQUATIC
35429.22,Upper Crab-Wilson,DNR UPLANDS
57417.57,Grays-Elochoman,DNR UPLANDS
66357.89,Klickitat,DNR UPLANDS
77889.28,Lower Chehalis,DNR AQUATIC
119680.87,Queets-Quinault,DNR AQUATIC
147705.41,Nisqually,FEDERAL
192017.97,Kitsap,DNR AQUATIC
215268.88,Upper Yakima,DNR UPLANDS
236749.32,Okanogan,FEDERAL
282390.16,Middle Snake,FEDERAL
487840.56,Snohomish,FEDERAL
26688.76,Middle Spokane,WRIA-LANDUSE
1535.96,Quilcene-Snow,DEVELOPED RECREATION
305.93,Willapa,AQ-PARKS
25252.32,Middle Snake,WRIA-ACQ
9951.92,Methow,WRIA-ACQ
1529.26,Lower Crab,OTHER PUBLIC
25166.11,Upper Yakima,AQ-DFW
291032.75,San Juan,UNKNOWN
122.89,Queets-Quinault,AQ-PARKS
1757.4,Alkali-Squilchuck,OTHER PUBLIC
127.9,Elwha-Dungeness,AQ-DFW
198401.29,Esquatzel Coulee,WRIA-OWNER
148.39,Nooksack,AQ-DFW
0,Lower Lake Roosevelt,WRIA-ACQ
533448.46,Elwha-Dungeness,UNKNOWN
303291.19,Lyre-Hoko,UNKNOWN
200402.82,Sanpoil,WRIA-LANDUSE
2997.76,Hangman,REVENUE
13.19,Lower Skagit-Samish,OTHER PUBLIC
298.16,Grays-Elochoman,HABITAT AND PASSIVE RECREATION
1191.69,Island,DEVELOPED RECREATION
9.92,Nespelem,UNKNOWN
3181.05,Elwha-Dungeness,WRIA-ACQ
16272.57,Lower Lake Roosevelt,WRIA-OWNER
564647.55,Elwha-Dungeness,WRIA-OWNER
61194.6,Klickitat,REVENUE
3189.37,Alkali-Squilchuck,AQ-DNR
107933.64,Lower Crab,UNKNOWN
8911.65,Lower Lake Roosevelt,REVENUE
5841.48,Willapa,WRIA-ACQ
87496.44,Walla Walla,WRIA-OWNER
9066.09,Soleduc,WRIA-ACQ
8162.37,Chelan,HABITAT AND PASSIVE RECREATION
452.14,Snohomish,AQ-PARKS
17.23,Naches,OTHER PUBLIC
327738.64,Alkali-Squilchuck,UNKNOWN
30394.81,Lower Crab,HABITAT AND PASSIVE RECREATION
106346.81,Klickitat,WRIA-LANDUSE
617664.03,Nooksack,WRIA-LANDUSE
493.66,Lewis,HABITAT AND PASSIVE RECREATION
42292.89,Chambers-Clover,WRIA-LANDUSE
1181.45,Kitsap,HABITAT AND PASSIVE RECREATION
7134.8,Entiat,REVENUE
87496.44,Walla Walla,WRIA-LANDUSE
161.78,Chelan,AQ-DFW
3120.28,Queets-Quinault,CONSERVATION
5850.14,Upper Chehalis,AQ-DNR
255.45,Salmon-Washougal,AQ-PARKS
115457.8,Alkali-Squilchuck,HABITAT AND PASSIVE RECREATION
420.06,Hangman,HABITAT AND PASSIVE RECREATION
566603.6,Pend Oreille,WRIA-LANDUSE
808,Snohomish,AQ-DFW
1072.04,Duwamish-Green,DEVELOPED RECREATION
26688.76,Middle Spokane,WRIA-OWNER
12117.13,Foster,UNKNOWN
18.68,Methow,AQ-DNR
516048.49,Nooksack,UNKNOWN
338553.92,Lower Yakima,WRIA-LANDUSE
0,Chambers-Clover,WRIA-ACQ
106.7,Upper Crab-Wilson,CONSERVATION
2.07,Kitsap,OTHER PUBLIC
603.92,Cowlitz,OTHER PUBLIC
256335.2,Quilcene-Snow,WRIA-OWNER
14.27,Grand Coulee,WRIA-ACQ
155.17,Colville,HABITAT AND PASSIVE RECREATION
47337.97,Salmon-Washougal,REVENUE
43097.81,Naches,WRIA-ACQ
711916.92,Wenatchee,UNKNOWN
9.17,Esquatzel Coulee,DEVELOPED RECREATION
6571.29,Snohomish,HABITAT AND PASSIVE RECREATION
808992.53,Cowlitz,WRIA-LANDUSE
44.61,Okanogan,PARKS
73.11,Hangman,DNR AQUATIC
130.4,Lyre-Hoko,CITY-COUNTY
169.9,Upper Lake Roosevelt,CITY-COUNTY
385.95,Esquatzel Coulee,PARKS
420.32,Island,DNR UPLANDS
422.85,Sanpoil,CITY-COUNTY
435.11,Skokomish-Dosewallips,DFW
585.48,Soleduc,PARKS
804.66,Lewis,DFW
952.7,Grays-Elochoman,DFW
1019.03,Entiat,CITY-COUNTY
1033.03,Puyallup-White,PARKS
1193.36,San Juan,DNR UPLANDS
1899.29,Lower Snake,PARKS
2166.24,Chelan,CITY-COUNTY
2376.18,Little Spokane,DNR AQUATIC
2857,Nooksack,PARKS
2863.75,Upper Skagit,DFW
5122.08,Willapa,DFW
5369,Klickitat,DNR AQUATIC
6824.44,Palouse,DNR AQUATIC
7357.09,Moses Coulee,DFW
8393.8,Cowlitz,DNR AQUATIC
9357.18,Wenatchee,DNR UPLANDS
10341.21,Alkali-Squilchuck,CITY-COUNTY
11078.61,Lower Skagit-Samish,CITY-COUNTY
11683.64,Little Spokane,DNR UPLANDS
11974.24,Esquatzel Coulee,CITY-COUNTY
12295.43,Alkali-Squilchuck,DNR AQUATIC
13482.05,Kennedy-Goldsborough,DNR UPLANDS
13635.53,Salmon-Washougal,DNR AQUATIC
14190.43,Walla Walla,DNR UPLANDS
18356.37,Grays-Elochoman,DNR AQUATIC
21249.3,Kitsap,CITY-COUNTY
25825.34,Nooksack,CITY-COUNTY
26331.14,Salmon-Washougal,FEDERAL
26626.08,Pend Oreille,DNR UPLANDS
31463.72,Snohomish,DNR AQUATIC
31997.78,Skokomish-Dosewallips,DNR UPLANDS
34486,Methow,DFW
43758.86,Alkali-Squilchuck,DNR UPLANDS
46499.82,Lyre-Hoko,FEDERAL
59498.33,Walla Walla,FEDERAL
61008.65,Cedar-Sammamish,DNR AQUATIC
68231.86,Palouse,DNR UPLANDS
72946.57,Quilcene-Snow,FEDERAL
84280.64,Lower Skagit-Samish,DNR AQUATIC
85776.63,Lower Yakima,DNR UPLANDS
133098.25,Upper Yakima,DFW
258609.31,Entiat,FEDERAL
560140.52,Chelan,FEDERAL
518291.5,Naches,UNKNOWN
71342.25,Upper Crab-Wilson,UNKNOWN
1380.07,Upper Chehalis,AQ-DFW
43123.24,Snohomish,AQ-DNR
417294.09,Wind-White Salmon,WRIA-LANDUSE
3.33,Duwamish-Green,OTHER PUBLIC
425426.72,Kettle,WRIA-LANDUSE
3948.98,Island,HABITAT AND PASSIVE RECREATION
42184.98,Chambers-Clover,UNKNOWN
18780.26,Middle Lake Roosevelt,REVENUE
7.14,Esquatzel Coulee,OTHER PUBLIC
467.34,Soleduc,OTHER PUBLIC
198.42,Quilcene-Snow,AQ-DFW
207.55,Skokomish-Dosewallips,AQ-PARKS
360918.25,Lyre-Hoko,WRIA-LANDUSE
7154.78,Soleduc,CONSERVATION
33273.29,Little Spokane,WRIA-OWNER
255911.65,Lower Chehalis,UNKNOWN
174.38,Hangman,AQ-PARKS
31015.3,Skokomish-Dosewallips,REVENUE
683.37,Grays-Elochoman,CONSERVATION
