"acres"|"acquisitioncost"|"areaname"|"agency"
247569.85|0|"Cowlitz"|"FEDERAL"
1567601.39|0|"Douglas"|"FEDERAL"
2439163.24|0|"Ferry"|"FEDERAL"
114744.13|0|"Franklin"|"FEDERAL"
656545.82|0|"Garfield"|"FEDERAL"
1714868.45|0|"Grant"|"FEDERAL"
1731109.03|0|"Grays Harbor"|"FEDERAL"
551342.44|0|"Island"|"FEDERAL"
2221012.32|0|"Jefferson"|"FEDERAL"
1484017.51|0|"King"|"FEDERAL"
16980.63|0|"Kitsap"|"FEDERAL"
2416557.06|0|"Kittitas"|"FEDERAL"
2474687.1|0|"Klickitat"|"FEDERAL"
3963664.32|0|"Lewis"|"FEDERAL"
1744763.49|0|"Lincoln"|"FEDERAL"
1520033.73|0|"Mason"|"FEDERAL"
6520379.42|0|"Okanogan"|"FEDERAL"
17247.51|0|"Pacific"|"FEDERAL"
826821.25|0|"Pend Oreille"|"FEDERAL"
1489523.08|0|"Pierce"|"FEDERAL"
495206.47|0|"San Juan"|"FEDERAL"
3957153.07|0|"Skagit"|"FEDERAL"
1150561.03|0|"Skamania"|"FEDERAL"
3337008.62|0|"Snohomish"|"FEDERAL"
31774.92|0|"Spokane"|"FEDERAL"
2495519.21|0|"Stevens"|"FEDERAL"
578266.78|0|"Thurston"|"FEDERAL"
2940.08|0|"Wahkiakum"|"FEDERAL"
671120.75|0|"Walla Walla"|"FEDERAL"
3390720.62|0|"Whatcom"|"FEDERAL"
11978.06|0|"Whitman"|"FEDERAL"
4259679.45|0|"Yakima"|"FEDERAL"
3.07|0|"Clark"|"HABITAT AND PASSIVE RECREATION"
56.22|0|"Cowlitz"|"HABITAT AND PASSIVE RECREATION"
63.59|42075|"Island"|"HABITAT AND PASSIVE RECREATION"
5.64|13000|"King"|"HABITAT AND PASSIVE RECREATION"
0.61|0|"Kitsap"|"HABITAT AND PASSIVE RECREATION"
28.09|860000|"Mason"|"HABITAT AND PASSIVE RECREATION"
3630.22|36540|"Adams"|"PARKS"
832.24|1481396|"Asotin"|"PARKS"
2349.73|4107445.12|"Chelan"|"PARKS"
5193.73|24429259.92|"Clallam"|"PARKS"
1272.15|1078071.89|"Clark"|"PARKS"
36.43|2|"Columbia"|"PARKS"
742.1|458000|"Cowlitz"|"PARKS"
3888.25|247843.27|"Douglas"|"PARKS"
45.9|11001|"Ferry"|"PARKS"
6227.95|15187.5|"Franklin"|"PARKS"
12662.24|15359462.32|"Grant"|"PARKS"
2650.52|4657665.75|"Grays Harbor"|"PARKS"
9859.51000000001|67886244.97|"Island"|"PARKS"
5269.62|8817402.36|"Jefferson"|"PARKS"
16344.22|66027046.9|"King"|"PARKS"
1770.86|7853354.6|"Kitsap"|"PARKS"
12815.06|6552336.73|"Kittitas"|"PARKS"
8542.71|1330335.63|"Klickitat"|"PARKS"
2681.05|7202444.59|"Lewis"|"PARKS"
64.48|125|"Lincoln"|"PARKS"
2578.24|22803022.24|"Mason"|"PARKS"
2864.85|22956602.67|"Okanogan"|"PARKS"
7859.64|25601075.87|"Pacific"|"PARKS"
197.61|20001|"Pend Oreille"|"PARKS"
5656.04|24906652.68|"Pierce"|"PARKS"
10936.71|11110181.39|"San Juan"|"PARKS"
5510.93|34726904.4|"Skagit"|"PARKS"
8050.07|4496475.98|"Skamania"|"PARKS"
4637.21|12883726.08|"Snohomish"|"PARKS"
39283.01|3966383.19|"Spokane"|"PARKS"
840.9|1605852.63|"Stevens"|"PARKS"
3497.62|10078708|"Thurston"|"PARKS"
5857.49|20246091.4|"Whatcom"|"PARKS"
4418.01|132918.5|"Whitman"|"PARKS"
498.82|186307.56|"Yakima"|"PARKS"
55308.19|614300|"Adams"|"REVENUE"
13585.79|288250|"Asotin"|"REVENUE"
53397.63|19726587.62|"Benton"|"REVENUE"
37329.73|0|"Chelan"|"REVENUE"
184120.69|25904921|"Clallam"|"REVENUE"
77287.27|1345000|"Clark"|"REVENUE"
10830.27|425000|"Columbia"|"REVENUE"
139722.76|107500|"Cowlitz"|"REVENUE"
104761.68|0|"Douglas"|"REVENUE"
35199.89|4622170|"Ferry"|"REVENUE"
33703.71|17287972|"Franklin"|"REVENUE"
11154.35|600000|"Garfield"|"REVENUE"
96478.1|7750000|"Grant"|"REVENUE"
144820.51|35741850|"Grays Harbor"|"REVENUE"
334.34|0|"Island"|"REVENUE"
259622.18|34006200|"Jefferson"|"REVENUE"
92187.63|87895000|"King"|"REVENUE"
11923.47|2525000|"Kitsap"|"REVENUE"
262411.81|186423978|"Kittitas"|"REVENUE"
121095.53|2918000|"Klickitat"|"REVENUE"
179387.69|47221000|"Lewis"|"REVENUE"
50238.66|2558100|"Lincoln"|"REVENUE"
64693.45|18643000|"Mason"|"REVENUE"
298344.55|23209148|"Okanogan"|"REVENUE"
112196.95|38005000|"Pacific"|"REVENUE"
47655.74|0|"Pend Oreille"|"REVENUE"
55056.37|100000|"Pierce"|"REVENUE"
1020.81|0|"San Juan"|"REVENUE"
